,text,sentiment,user,retweets,likes,location,year,month,day,hour
47,help             edit     typo     twitter   oh   right,Negative,@JeffBezos,329,6537,North Macedonia,2022,5,13,19
48,slide   decks   hide     shallow   thinking   narratively   structured   memos     harder     write       require   better   thinking     worth  ,Neutral,@JeffBezos,1114,12433,Taiwan,2022,5,13,18
49,big   potential,Posiitve,@JeffBezos,166,2078,Slovenia,2022,5,13,17
50,  dad       intense   hard   worker       also   warm     teaches     easy   smile     self deprecating   humor     brother   sister       could         better   role   model     love           proud           well deserved   recognition     statueellisfdn,Posiitve,@JeffBezos,296,3537,Israel,2022,5,13,16
51,  hedge   fund   ceo       buy   one   get   one   auction       seat       blue   origin   space   flight     8   million         giving   away     seats     educators,Neutral,@CBSMornings,117,836,Nigeria,2022,5,13,13
52,agree   100   would   add   civility     hard   name   calling     ad   hominem   attacks     easy         use       makes     harder     work   together,Neutral,@JeffBezos,391,4694,Pakistan,2022,5,12,23
53,congrats   katya,Posiitve,@JeffBezos,246,2676,Spain,2022,5,9,23
54,  pulitzers   gold   medal   prize     public   service     given       individual         entire   organization   huge   kudos     congrats       whole   washington   post   team,Posiitve,@JeffBezos,129,1262,New Zealand,2022,5,9,21
55,mom         idea                  kept   us     safe   inside     heart   thank       sharing     strength           sacrifices     made     love  ,Posiitve,@JeffBezos,1160,31228,Paraguay,2022,5,8,15
56,  many       elected   officials     still   using     techniques https www wsj com articles children use conflict win popularity 11651774475 st hxy6aqm6k9vvhtv reflink article_copyurl_share,Neutral,@JeffBezos,827,7148,Egypt,2022,5,8,2
57,bill     without   doubt   one       smartest   people     know     always   worth   listening       people   dramatically   underestimate     remarkableness       bull   run     things     unstoppable            markets   teach     lessons       painful,Neutral,@JeffBezos,1458,12707,Kiribati,2022,4,30,23
58,  damn   cool   congrats     mimi       whole   mars   helicopter   team,Posiitve,@JeffBezos,249,3349,Greece,2022,4,28,21
59,      good   use     twitter,Posiitve,@JeffBezos,257,6687,Guinea,2022,4,27,14
60,    see   musk     extremely   good     navigating     kind     complexity,Posiitve,@JeffBezos,640,10920,Maldives,2022,4,26,1
61,    answer       question     probably         likely   outcome       regard     complexity     china     tesla   rather     censorship     twitter,Neutral,@JeffBezos,495,6960,Paraguay,2022,4,26,1
62,agree           fascinating   piece       one   drawn       cartoon   thanks       link     reco,Posiitve,@JeffBezos,305,4924,Argentina,2022,4,26,0
63,interesting   question       chinese   government     gain     bit     leverage       town   square,Neutral,@JeffBezos,4804,26571,Brazil,2022,4,25,23
64,one       many   steps     making     meet     climate   pledge   commitment,Neutral,@JeffBezos,173,2081,Qatar,2022,4,21,4
65,pls   consider   taking     moment     voting     van   jones     uncommon   ground       passionate   courageous   leader       big   tent   approach       unifier     stays   focused       mission     takes   help       corners           bit   better         people   took     approach,Neutral,@JeffBezos,103,1148,Honduras,2022,4,19,21
66,    short   version https www instagram com reel ccglk3flizj igshid ymmymta2m2y,Neutral,@JeffBezos,107,1142,Zambia,2022,4,19,1
68,  piece     jonathan   haidt     thoughtful   beautifully   written     important     worth     long   read   https www theatlantic com magazine archive 2022 05 social media democracy trust babel 629369,Posiitve,@JeffBezos,1577,9895,Ireland,2022,4,19,1
69,wow       good   every   would   startup   founder     read     everyone     cares       future             way   forward   sounds   like       whining     cynicism     fills   twitter       media    https bariweiss substack com p case american seriousness r,Neutral,@paulg,811,4452,Bulgaria,2022,4,18,13
70,    portion   worked     great     makes     easy     employees     want     volunteer   https www geekwire com 2020 photos inside amazons new 8 floor family homeless shelter attached seattle hq,Posiitve,@JeffBezos,1835,35036,Honduras,2022,4,10,20
71,  bill     magical   thinking   arrives     unpredictable   timing     thunderous   force,Neutral,@pmarca,310,2051,China,2022,4,9,22
72,2 2     evaluates   many   factors   including     ability     advance   skills   growth   company   stability   external   opportunity   company   affinity     gender   diversity    thank           every   one     amazon   employees         hard   work     dedication       day   1,Posiitve,@JeffBezos,110,1569,Madagascar,2022,4,6,18
73,  must     better   every   day       know       even           super   proud     amazon     ranked     1   place     people   want     work     linkedin     methodology   uses   linkedin   unique   data   set       810   million   members   1 2,Posiitve,@JeffBezos,536,6407,Belgium,2022,4,6,18
74,    opened     second   humanitarian   aid   hub     help   ukrainian   refugees       one     poland   like     first   one     opened     slovakia       fulfillment   center   dedicated       issue   using     logistics     distribution   experience     help,Neutral,@JeffBezos,451,5456,Guinea-Bissau,2022,4,1,0
75,  great   meeting       learning       work   thomas   incredible     inspiring,Posiitve,@JeffBezos,225,2185,Iran,2022,3,31,2
76,https time com collection time100 companies 2022 6159473 amazon ceo andy jassy interview,Neutral,@JeffBezos,138,1370,Uruguay,2022,3,30,18
77,two   legends       booth   coming     nflonprime,Neutral,@JeffBezos,110,982,Gabon,2022,3,23,22
78,amazon   opens   supply   hub     ukrainian   refugees     largest   humanitarian   aid   facility   ever   https www geekwire com 2022 amazon opens supply hub ukrainian refugees largest humanitarian aid facility ever,Posiitve,@geekwire,122,779,Ireland,2022,3,22,20
79,    fortunate     witness     beauty     colombia   chiribiquete   national   park       amazon   jeffbezos   lauren   sánchez   bezosearthfund   drandrewsteer       colombia   meeting     pres   ivanduque     grantees     advance     commitment     30x30     preserve   nature,Posiitve,@BezosEarthFund,277,1527,Cuba,2022,3,9,20
80,lotr   super   bowl   teaser,Neutral,@JeffBezos,1238,10298,Chile,2022,2,14,1
81,exclusive     v f       first   official   look     primevideo     lord       rings   theringsofpower   welcome   back     middle earth   vntyfr com y9kiqsf,Posiitve,@VanityFair,3379,9323,Cameroon,2022,2,10,12
82,alexa   play     new   super   bowl   ad,Neutral,@JeffBezos,948,8666,Israel,2022,2,7,15
83,      year   ago       white   house   launched   justice40   proud       earth   fund   team     helping   drive     forward,Posiitve,@JeffBezos,171,1690,Bulgaria,2022,1,28,20
84,2 2,Neutral,@JeffBezos,677,6832,Japan,2022,1,19,15
85,coming     september   2nd     wait         see     lotronprime    1 2,Neutral,@JeffBezos,1969,26521,Australia,2022,1,19,15
86,thanks   jonerlichman   25   years   ago   today   note     netscape   browser,Neutral,@JeffBezos,1118,10320,Dominican Republic,2022,1,5,17
87,2 2       edwardsville     know       amazon   team     committed     supporting               side       crisis     extend     fullest   gratitude         incredible   first   responders       worked     tirelessly       site,Posiitve,@JeffBezos,181,2677,Canada,2021,12,12,1
88,  news     edwardsville     tragic     heartbroken       loss       teammates         thoughts     prayers         families     loved   ones   1 2,Negative,@JeffBezos,372,5000,Kiribati,2021,12,12,1
89,loved       michaelstrahan     thursday   night   football   gave       little   something     pack       flight,Posiitve,@JeffBezos,305,4395,Germany,2021,12,10,14
90,congrats     dj     one     deserving           people   champ   award,Posiitve,@JeffBezos,174,2498,Indonesia,2021,12,10,0
91,today     washington   post       world   lost     exceptional   journalist     remarkable   man   long time   editorial   page   editor   fred   hiatt       miss     thoughtfulness   professionalism     warm   friendship     thoughts         beloved   family       difficult   time,Neutral,@JeffBezos,249,2795,Jamaica,2021,12,6,19
92,    pleased     announce   443m     grants     advance   environmental   justice   conserve     restore   nature     improve   monitoring     accountability     44   grants     help   enable         world   leading   change   agents     act   quickly       challenges       decisive   decade,Posiitve,@BezosEarthFund,243,1543,Peru,2021,12,6,13
93,welcome   aboard   michael,Posiitve,@JeffBezos,314,3550,Mali,2021,11,24,18
94,2 2     year   grants   go     32   groups   led     experts       making     difference       communities       funds     help       expand     important   work   https www bezosdayonefund org,Posiitve,@JeffBezos,134,1308,Mali,2021,11,17,13
95,    fourth   year       row     bezos   day   1   families   fund     making   donations     organizations   helping   families     need   across     u     grants     provide   support   including   housing   food   clothing       resources     help   families   get   back       feet   1 2,Posiitve,@JeffBezos,367,6897,Spain,2021,11,17,13
96,2 2     deepest   sympathies         partner   leah         loved   ones     world   lost       soon   glen,Neutral,@JeffBezos,97,1974,Nepal,2021,11,12,23
97,    tragic   loss   warm     full     life   glen   made   us   laugh     lit       room         visionary       innovator       true   leader   lauren         heartbroken       remember     precious   time     got     spend   together   1 2,Posiitve,@JeffBezos,402,6749,Dominican Republic,2021,11,12,23
98,leo   come         want     show     something   leodicaprio,Neutral,@JeffBezos,39215,249014,Honduras,2021,11,8,14
99,ceo     president   drandrewsteer   speaking   last   night       importance       week   3b   commitment     nature,Neutral,@BezosEarthFund,144,1323,Croatia,2021,11,5,13
100,congrats       important   work   chefjoseandres       say   build   longer   tables     higher   walls   https apple news akqhxh6wdsy2x14km8ah8ca,Posiitve,@JeffBezos,280,2703,Japan,2021,11,5,15
101,    decision     wanted       respect     court   judgment     wish   full   success     nasa     spacex       contract,Neutral,@JeffBezos,2053,25890,Mozambique,2021,11,4,17
102,bezosearthfund   announces   3b     nature       cop26   leader   summit     glasgow     funds       targeted       three   fold   agenda   conservation   restoration     food   systems   transformation,Neutral,@BezosEarthFund,445,3016,Iran,2021,11,4,12
103,  proud       one       founding   funders     prince   william   earthshot   prize     easy     see     passionate     thoughtful           important   work,Posiitve,@JeffBezos,455,5069,United Arab Emirates,2021,11,2,18
104,listening   learning     collaborating     bold   ideas     leaders     around     world     day   one     cop26     back     work   already   today     jeffbezos   drandrewsteer,Posiitve,@BezosEarthFund,153,1099,Thailand,2021,11,2,11
105,2 2   transnational   marine   protected   area       planet   covering     area   larger     california   thank         group       boldness       important   work,Posiitve,@JeffBezos,158,1462,Belgium,2021,11,2,11
106,  cop26   lauren       discussed   conservation     land     sea     leaders     colombia   ecuador   panama   costa   rica     bolivia   together     oversee   one         diverse   regions     earth     bezosearthfund     working         help   create     largest   1 2,Neutral,@JeffBezos,936,4709,Paraguay,2021,11,2,11
107,wonderful   meeting     tuntiak   katan       shuar   tribe     ecuador     solange   bandiaky badji       rights     resources   institute   indigenous   peoples     custodians         third       world   tropical   forests     must   champion     efforts     protect     planet,Posiitve,@JeffBezos,875,5839,Congo,2021,11,1,15
108,  prince     wales       involved     fighting   climate   change     protecting     beautiful   world   far   longer             chance     discuss     important   issues       eve     cop26     looking     solutions     heal     world         bezosearthfund     help,Posiitve,@JeffBezos,448,4607,Finland,2021,10,31,21
109,closing     eyes       still   feel     irresistible   tug     pulling     heart       chest           edge       world     cboshuizen   https www theguardian com science 2021 oct 22 feels go space beautiful dazzling frightening ever imagined,Posiitve,@JeffBezos,254,2799,Romania,2021,10,22,15
110,bill   audrey   chris   glen           share     experience       forever   change       view     world   godspeed           starts  ,Posiitve,@JeffBezos,829,12260,Ghana,2021,10,13,12
111,          beginning       miraculous     beginning     williamshatner     ready     go     space   ns18,Neutral,@blueorigin,957,4703,Ecuador,2021,10,12,13
112,  game,Neutral,@JeffBezos,838,13054,Bosnia and Herzegovina,2021,10,11,14
113,listen       open       let   anybody   tell                 one       many   stories   telling   us       ways       going     fail   today   amazon     one       world     successful   companies       revolutionized   two   entirely   different   industries,Neutral,@JeffBezos,10652,71322,Senegal,2021,10,11,3
114,anderson   laughs       whole   interview     bill   shatner     legend,Neutral,@JeffBezos,232,2697,Japan,2021,10,7,15
115,  lot     still   prove         sure       rivian   team     world   class     rjscaringe     one       greatest   entrepreneurs     ever   met       rj         vans    https www bloomberg com news articles 2021 10 06 amazon pushed rivian van fast lane sref 3bxq9k0u,Posiitve,@JeffBezos,236,2835,Jamaica,2021,10,7,1
116,new   007   film     amazing     fun   loved         miss   daniel   craig   already     wait     see     barbara   broccoli     michael   wilson   pick   next   https www washingtonpost com goingoutguide movies time die movie review 2021 10 04 4b0686c4 2528 11ec 8d53 67cfb452aa60_story html,Posiitve,@JeffBezos,262,4098,"Korea, North",2021,10,6,14
117,    simple   admiration,Posiitve,@JeffBezos,191,4001,Sweden,2021,10,3,17
118,reedhastings     ted   sarandos       team     netflix   get     right     often     internationalization   strategy     easy       making     work   impressive     inspiring         wait     watch     show   https www vulture com article planet squid game netflix biggest show html,Posiitve,@JeffBezos,672,6750,Dominican Republic,2021,10,2,22
119,2 2     two   articles       8   months   apart   https www bloomberg com news features 2021 01 29 amazon game studios struggles find hit,Neutral,@JeffBezos,93,1502,New Zealand,2021,10,1,13
120,  many   failures     setbacks     gaming         success     proud       team       persistence   view   setbacks     helpful   obstacles     drive   learning   whatever     goals       give       matter     hard     gets   playnewworld   1 2   https www cnbc com 2021 09 30 new world amazon new smash hit video game html,Neutral,@JeffBezos,520,5293,Cuba,2021,10,1,13
121,amazon     rewarded   eight   workers     got   vaccinated     free   cars     100 000   payouts   https cnb cx 3zwpmp4,Posiitve,@CNBCtech,133,1180,Saudi Arabia,2021,9,21,23
122,good   exchange     ideas     climate   change       lot     passion   around   preserving     restoring     natural   world     might   also         side   conversation       better     asimov     clarke     meeting     useful     enjoyable   thank     borisjohnson,Posiitve,@JeffBezos,382,6813,Belize,2021,9,20,22
123,congratulations     elonmusk       spacex   team       successful   inspiration4   launch   last   night   another   step   towards     future     space     accessible         us,Posiitve,@JeffBezos,6822,122016,France,2021,9,16,16
124,discussing   climate   sustainability     preserving     natural   world     president   emmanuelmacron   today     paris   bezosearthfund   climatepledge,Neutral,@JeffBezos,2391,30643,Maldives,2020,2,28,17
125,    took     dna   test   turns       100   lizzo   biggest   fan   sbliv,Neutral,@JeffBezos,13544,115161,Pakistan,2020,2,3,2
126,hey   alexa     show   everyone     upcoming   super   bowl   ad   thanks   theellenshow     portiaderossi,Posiitve,@JeffBezos,2590,20672,Mali,2020,1,29,17
127,jamal,Neutral,@JeffBezos,4795,33787,Paraguay,2020,1,22,19
128,hey   india     rolling       new   fleet     electric   delivery   rickshaws   fully   electric   zero   carbon   climatepledge,Neutral,@JeffBezos,9325,71525,China,2020,1,20,3
129,proud       program         india     hire     train   deaf   associates       delivery   stations   managers   learn   basic   sign   language       able     communicate   meeting     group       moving   experience    ,Posiitve,@JeffBezos,2408,27093,Kenya,2020,1,19,11
130,amazon   partners     thousands     kirana   stores       india     delivery   points     good     customers       helps     shop   owners   earn   additional   income   got     visit   one     mumbai   thank     amol     letting     deliver     package   msme,Posiitve,@JeffBezos,2387,26388,Namibia,2020,1,18,7
131,lots     fun     stage     iamsrk     zoya   akhtar,Posiitve,@JeffBezos,4942,31953,Canada,2020,1,17,11
132,grabbing     quick   selfie     amitagarwal     india   small   business   summit   everyone   squeeze       little   tighter   amazonsmbhav,Neutral,@JeffBezos,721,12855,Croatia,2020,1,16,10
133,dynamism   energy   democracy   indiancentury,Neutral,@JeffBezos,3401,19223,Serbia,2020,1,15,14
134,  landed     india     spent     beautiful   afternoon   paying     respects     someone     truly   changed     world   live             die   tomorrow   learn             live   forever     mahatma   gandhi,Posiitve,@JeffBezos,7960,57248,Canada,2020,1,14,15
135,toured   leemontessori     washington   c       team     day   1   academies       great     meet     kids       energetic     energizing   lee         amazing   job   unleashing     love     learning,Posiitve,@JeffBezos,475,5526,Malta,2019,12,17,23
136,picture   perfect   flight   blueorigin       vehicle       flown     space     back   six   times   making       new   milestone     carried   23   payloads   today   including   thousands     postcards     kids         world     clubforfuture   keep     coming   kids       keep   flying  ,Posiitve,@JeffBezos,1339,10905,Morocco,2019,12,12,3
137,nice   amazon   ranked   1   best   managed   company   definitely     result     strong   teamwork     people     care   deeply     passionately     customers     fellow   employees       environment   huge   thank       kudos       amazonians,Posiitve,@JeffBezos,1045,8887,Slovenia,2019,11,22,21
138,excited     announce     year   bezos   day   one   grants   thank         32   organizations     23   states   working     end   homelessness     recently   spent   time       amazing   team     community     hope     washington   c     one     last   year   grantees   bezosdayonefund org,Posiitve,@JeffBezos,419,3295,Honduras,2019,11,21,14
139,congrats     david         veterans   graduating       amazon   apprenticeship   program           technical   careers     join         21 000   veterans     military   spouses   working     amazon   huge   thank               served   veteransday   amazonwarriors,Posiitve,@JeffBezos,478,6253,Bulgaria,2019,11,11,14
140,  time     go   back       moon     time     stay   lockheedmartin   northropgrumman   draperlab   blueorigin   gradatimferociter,Neutral,@JeffBezos,1352,8501,Spain,2019,10,22,21
141,dropped         amazonfutureengineer   class     dunbar   h     c   today     committed     bringing     resources     kids     underserved   communities       proud     say       funding   computer   science         2 000   high   schools   across     u   nextgeneration,Posiitve,@JeffBezos,1254,10719,Tunisia,2019,10,21,19
142,thank         customers     donated   relief   items       second   amazon   air   plane     humanitarian   aid   together       400 000   amazon donated     customer donated   items       provided       affected     hurricanedorian       bahamas       us   amazon com disasterrelief,Posiitve,@JeffBezos,384,4218,Guatemala,2019,9,24,13
143,  record   year     emmy   wins     primevideo     fantastic   work   huge   congrats       winners     teams   behind   fleabag   maiseltv         english   scandal,Posiitve,@JeffBezos,235,3489,Spain,2019,9,24,1
144,good   luck     rachelbros   phoebe   waller bridge     maiseltv     fleabag   teams       primevideo   shows       emmys   tonight,Posiitve,@JeffBezos,194,2745,Egypt,2019,9,22,19
145,      compete     lower   prices     better   services     secretly   fund   phony   grassroots   attack   campaigns   ugly   https www wsj com articles grassroots campaign take amazon funded amazons biggest rivals 11568989838,Negative,@JayCarney,212,1177,"Korea, South",2019,9,20,20
146,super   excited       climate   pledge   impossible         without   cfigueres     grateful       christiana   climatepledge   paris10yearsearly,Posiitve,@JeffBezos,400,2978,Switzerland,2019,9,19,15
147,yesterday     first   amazon   air   plane   loaded     relief   items   arrived     nassau   bahamas     help   victims     hurricanedorian     cargo   weight     72 728   lbs     approx   19 300   items     board   huge   thanks       teams   across   amazon     made     happen   amazon com disasterrelief,Posiitve,@JeffBezos,517,4407,Israel,2019,9,17,14
148,shout         new   amazonians     let     drop       new   hire   orientation   today   incredible     welcome     many   smart     passionate   people           world     looking   forward       amazoncareerday   events   tomorrow,Posiitve,@JeffBezos,287,3937,Argentina,2019,9,16,22
149,visited     amazing   nia_house   montessori     nashville     mike_m_george   learned     lot     going     help   day   1   academies       way   nia   means   purpose     swahili     cool,Posiitve,@JeffBezos,253,2656,Japan,2019,9,13,14
150,today     announced       added   24   schools     nashville       amazonfutureengineer   program   loved   celebrating     great   news     building   robots     students     madison   middle   school,Posiitve,@JeffBezos,589,5260,Cameroon,2019,9,11,19
151,  sending   two   amazon   air   planes   packed     tens     thousands     amazon donated     customer donated   relief   items     support     impacted     hurricanedorian       bahamas   thanks         teams       making     possible   amazon com disasterrelief,Posiitve,@JeffBezos,682,5577,Luxembourg,2019,9,9,14
152,season   2   streams   november   1     wait   jackryan,Neutral,@JeffBezos,598,7564,Saudi Arabia,2019,9,8,13
153,rooting     team   india   good   luck   india   chandrayaan2   https www space com india chandrayaan 2 moon south pole landing site html,Posiitve,@JeffBezos,7182,42066,Mexico,2019,9,6,18
154,blueorigin   founded   nonprofit   clubforfuture     inspire   youth     pursue   careers     stem     visualize   life     space     asked   students     send   postcards   w   dreams       send     cards       kármán   line     space     back     received   thousands         inspiring,Posiitve,@JeffBezos,296,2371,Paraguay,2019,8,29,17
155,    great   meeting     mike   george     hard     work   building   day   1   academies     mike       busy   learning       best       field           pictures       listening   tour     visiting     smart     kind   early   educators     schools   across     country,Posiitve,@JeffBezos,248,3434,Gambia,2019,8,28,19
156,4   continues     rack     time       test   stand       great   shot       full   power   engine   test   today   gradatimferociter,Neutral,@blueorigin,421,3398,Jamaica,2019,8,3,2
157,pride,Posiitve,@JeffBezos,366,4710,Italy,2019,6,30,14
158,  much   fun     caroline   kennedy   yesterday       jfkspacesummit     father   rice   speech   still   inspires     choose         things           easy           hard   apollo50,Posiitve,@JeffBezos,408,4695,Nigeria,2019,6,20,18
159,first   hotfire       be7   lunar   landing   engine     yesterday     marshall   space   flight   center   data   looks   great     hardware       perfect   condition   test   went   full   planned   duration     35   seconds   kudos       whole   blueorigin   team     grateful     nasa_marshall         help,Posiitve,@JeffBezos,748,5863,Maldives,2019,6,20,1
160,happy   father   day           always       feel       love     dad,Posiitve,@JeffBezos,870,18598,Croatia,2019,6,16,15
161,  mom   incredible   story   wow     grateful     proud   grit,Posiitve,@JeffBezos,499,5249,Qatar,2019,6,10,22
162,got     chance     scout         cool   tech       first   remars   event   haptx   rivian   hseas   wyssinstitute,Posiitve,@JeffBezos,1167,7270,Turkey,2019,6,6,18
163,leo   story     amazing           mom   amazonfutureengineer,Posiitve,@JeffBezos,509,3618,Spain,2019,6,6,4
164,amazonremars         bringing     best     brightest   together       fitting       got     meet   leo     one       first   100   recipients       amazonfutureengineer   scholarship         doubt   leo     going         inventor     tomorrow,Posiitve,@JeffBezos,418,3249,Ireland,2019,6,6,3
165,mackenzie     going       amazing     thoughtful     effective     philanthropy       proud         letter       beautiful   go   get   em   mackenzie   https givingpledge org pledger aspx id 393,Posiitve,@JeffBezos,893,7908,Sweden,2019,5,28,13
